DBN,School Name,Year,Total Enrollment,#Asian,PerAsian,#Black,PerBlack,#Hispanic,PerHispanic,#Other,PerOther,#White,PerWhite,#Disabilities,PerDisabilities,#ELLs,PerELL,#Poverty,PerPoverty
13K003,P.S. 003 The Bedford Village,2015-16,450,48,10.7,317,70.4,55,12.2,21,4.7,9,2,53,0.118,48,10.7,392,87.1
13K008,P.S. 008 Robert Fulton,2015-16,924,56,6.1,129,14,106,11.5,68,7.4,565,61.1,130,0.141,20,2.2,125,13.5
13K009,P.S. 009 Teunis G. Bergen,2015-16,838,58,6.9,380,45.3,116,13.8,49,5.8,235,28,131,0.156,30,3.6,367,43.8
13K011,P.S. 011 Purvis J. Behan,2015-16,831,29,3.5,562,67.6,94,11.3,50,6,96,11.6,78,0.094,14,1.7,368,44.3
13K020,P.S. 020 Clinton Hill,2015-16,401,12,3,216,53.9,86,21.4,22,5.5,65,16.2,57,0.142,12,3,273,68.1
13K044,P.S. 044 Marcus Garvey,2015-16,223,7,3.1,184,82.5,24,10.8,4,1.8,4,1.8,33,0.148,13,5.8,216,96.9
13K046,P.S. 046 Edward C. Blum,2015-16,361,5,1.4,182,50.4,162,44.9,6,1.7,6,1.7,84,0.233,49,13.6,321,88.9
13K054,P.S. 054 Samuel C. Barnes,2015-16,241,9,3.7,137,56.8,88,36.5,6,2.5,1,0.4,49,0.203,34,14.1,226,93.8
13K056,P.S. 056 Lewis H. Latimer,2015-16,200,9,4.5,159,79.5,21,10.5,2,1,9,4.5,32,0.16,5,2.5,166,83
13K067,P.S. 067 Charles A. Dorsey,2015-16,228,18,7.9,122,53.5,79,34.6,7,3.1,2,0.9,53,0.232,19,8.3,226,99.1
13K093,P.S. 093 William H. Prescott,2015-16,305,67,22,214,70.2,9,3,4,1.3,11,3.6,47,0.154,29,9.5,288,94.4
13K113,M.S. 113 Ronald Edmonds Learning Center,2015-16,414,16,3.9,309,74.6,76,18.4,4,1,9,2.2,112,0.271,13,3.1,348,84.1
13K133,P.S. 133 William A. Butler,2015-16,688,20,2.9,185,26.9,222,32.3,45,6.5,216,31.4,92,0.134,27,3.9,688,100
13K256,P.S. 256 Benjamin Banneker,2015-16,291,5,1.7,200,68.7,80,27.5,1,0.3,5,1.7,47,0.162,26,8.9,281,96.6
13K265,Dr. Susan S. McKinney Secondary School of the Arts,2015-16,427,7,1.6,311,72.8,99,23.2,8,1.9,2,0.5,89,0.208,22,5.2,327,76.6
13K266,M.S. K266 Park Place Community Middle School,2015-16,130,1,0.8,102,78.5,25,19.2,1,0.8,1,0.8,39,0.3,2,1.5,102,78.5
13K270,P.S. 270 Johann DeKalb,2015-16,139,6,4.3,95,68.3,34,24.5,2,1.4,2,1.4,27,0.194,13,9.4,133,95.7
13K282,P.S. 282 Park Slope,2015-16,892,28,3.1,529,59.3,226,25.3,25,2.8,84,9.4,126,0.141,32,3.6,541,60.7
13K287,P.S. 287 Bailey K. Ashford,2015-16,198,10,5.1,138,69.7,43,21.7,5,2.5,2,1,36,0.182,5,2.5,188,94.9
13K301,Satellite East Middle School,2015-16,96,16,16.7,62,64.6,13,13.5,3,3.1,2,2.1,29,0.302,17,17.7,94,97.9
13K305,P.S. 305 Dr. Peter Ray,2015-16,182,8,4.4,138,75.8,20,11,8,4.4,8,4.4,44,0.242,15,8.2,171,94
13K307,P.S. 307 Daniel Hale Williams,2015-16,380,14,3.7,217,57.1,109,28.7,11,2.9,29,7.6,131,0.345,10,2.6,283,74.5
13K313,Satellite West Middle School,2015-16,77,3,3.9,32,41.6,40,51.9,2,2.6,0,0,32,0.416,6,7.8,71,92.2
13K350,Urban Assembly High School of Music and Art,2015-16,333,2,0.6,257,77.2,66,19.8,3,0.9,5,1.5,76,0.228,6,1.8,267,80.2
13K351,The Urban Assembly Unison School,2015-16,148,22,14.9,100,67.6,21,14.2,1,0.7,4,2.7,31,0.209,23,15.5,129,87.2
13K412,"Brooklyn Community High School of Communication, Arts and Media",2015-16,379,4,1.1,299,78.9,70,18.5,5,1.3,1,0.3,80,0.211,17,4.5,303,79.9
13K419,"Science Skills Center High School for Science, Technology and Creative Arts",2015-16,549,34,6.2,394,71.8,96,17.5,12,2.2,13,2.4,85,0.155,17,3.1,407,74.1
13K430,Brooklyn Technical High School,2015-16,5534,3340,60.4,417,7.5,404,7.3,211,3.8,1162,21,86,0.016,2,0,3351,60.6
13K439,Brooklyn International High School,2015-16,362,113,31.2,67,18.5,131,36.2,1,0.3,50,13.8,9,0.025,271,74.9,362,100
13K483,The Urban Assembly School for Law and Justice,2015-16,459,11,2.4,329,71.7,96,20.9,18,3.9,5,1.1,67,0.146,7,1.5,334,72.8
13K492,Academy of Arts and Letters,2015-16,515,35,6.8,203,39.4,89,17.3,29,5.6,159,30.9,98,0.19,5,1,151,29.3
13K499,ACORN Community High School,2015-16,373,5,1.3,310,83.1,48,12.9,3,0.8,7,1.9,105,0.282,14,3.8,313,83.9
13K527,Urban Assembly Institute of Math and Science,2015-16,476,22,4.6,339,71.2,68,14.3,9,1.9,38,8,88,0.185,25,5.3,382,80.3
13K553,Brooklyn Academy High School,2015-16,163,0,0,132,81,23,14.1,5,3.1,3,1.8,36,0.221,0,0,133,81.6
13K575,Bedford Stuyvesant Preparatory High School,2015-16,152,1,0.7,126,82.9,22,14.5,2,1.3,1,0.7,6,0.039,2,1.3,110,72.4
13K595,Bedford Academy High School,2015-16,361,10,2.8,301,83.4,26,7.2,17,4.7,7,1.9,46,0.127,1,0.3,211,58.4
13K596,M.S. 596 Peace Academy,2015-16,49,3,6.1,31,63.3,13,26.5,0,0,2,4.1,19,0.388,6,12.2,48,98
13K605,George Westinghouse Career and Technical Education,2015-16,619,15,2.4,452,73,128,20.7,8,1.3,16,2.6,117,0.189,10,1.6,482,77.9
13K616,Brooklyn High School for Leadership and Community,2015-16,230,1,0.4,161,70,64,27.8,0,0,4,1.7,37,0.161,11,4.8,174,75.7
13K670,Benjamin Banneker Academy,2015-16,916,35,3.8,777,84.8,83,9.1,12,1.3,9,1,82,0.09,7,0.8,500,54.6
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",2015-16,451,28,6.2,324,71.8,79,17.5,4,0.9,16,3.5,89,0.197,8,1.8,334,74.1
13K691,Fort Greene Preparatory Academy,2015-16,241,6,2.5,156,64.7,67,27.8,3,1.2,9,3.7,58,0.241,17,7.1,168,69.7
84K417,Urban Dove Charter School,2015-16,298,3,1,229,76.8,61,20.5,3,1,2,0.7,115,0.386,9,3,238,79.9
84K508,Achievement First Endeavor Charter School,2015-16,1002,6,0.6,878,87.6,109,10.9,7,0.7,2,0.2,147,0.147,5,0.5,811,80.9
84K517,Leadership Prep Bedford Stuyvesant Uncommon Prep Charter School,2015-16,772,8,1,670,86.8,69,8.9,17,2.2,8,1,84,0.109,14,1.8,602,78
84K536,Community Roots Charter School,2015-16,458,19,4.1,149,32.5,72,15.7,38,8.3,180,39.3,113,0.247,10,2.2,115,25.1
84K702,Community Partnership Charter School,2015-16,471,2,0.4,378,80.3,71,15.1,15,3.2,5,1.1,63,0.134,9,1.9,398,84.5
84K707,Brooklyn Prospect Elementary Charter School,2015-16,929,57,6.1,142,15.3,316,34,71,7.6,343,36.9,154,0.166,19,2,386,41.6
84K740,Brooklyn Scholars Charter School,2015-16,674,42,6.2,468,69.4,153,22.7,9,1.3,2,0.3,58,0.086,4,0.6,341,50.6
84K752,Success Academy Fort Greene ,2015-16,293,3,1,195,66.6,71,24.2,6,2,18,6.1,31,0.106,18,6.1,204,69.6
84K757,Unity Preparatory Charter School of Brooklyn,2015-16,316,5,1.6,246,77.8,54,17.1,7,2.2,4,1.3,76,0.241,14,4.4,228,72.2
84K766,The International Charter School of New York,2015-16,112,3,2.7,50,44.6,18,16.1,5,4.5,36,32.1,13,0.116,1,0.9,35,31.3
84K780,Brooklyn East Collegiate Charter School,2015-16,388,4,1,317,81.7,34,8.8,31,8,2,0.5,51,0.131,9,2.3,298,76.8
84K789,Compass Charter School,2015-16,154,10,6.5,46,29.9,18,11.7,18,11.7,62,40.3,15,0.097,2,1.3,48,31.2
84K803,Brooklyn LaboratoryÂ Charter School,2015-16,245,5,2,171,69.8,46,18.8,10,4.1,13,5.3,58,0.237,6,2.4,118,48.2
